Month	#Price
2017-01-01	22
2017-01-02	22
2017-01-03	22
2017-01-04	22
2017-01-05	22
2017-01-06	22
2017-01-07	22
2017-01-08	00
2017-01-09	22
2017-01-10	22
2017-01-11	22
2017-01-12	22
2017-01-13	22
2017-01-14	00
2017-01-15	00
2017-01-16	22
2017-01-17	22
2017-01-18	22
2017-01-19	22
2017-01-20	21
2017-01-21	21
2017-01-22	00
2017-01-23	00
2017-01-24	21
2017-01-25	21
2017-01-26	21
2017-01-27	21
2017-01-28	21
2017-01-29	00
2017-01-30	21
2017-01-31	21
2017-02-01	21
2017-02-02	00
2017-02-03	21
2017-02-04	21
2017-02-05	00
2017-02-06	21
2017-02-07	21
2017-02-08	21
2017-02-09	21
2017-02-10	21
2017-02-11	21
2017-02-12	00
2017-02-13	21
2017-02-14	21
2017-02-15	21
2017-02-16	21
2017-02-17	21
2017-02-18	21
2017-02-19	00
2017-02-20	21
2017-02-21	21
2017-02-22	21
2017-02-23	20
2017-02-24	20
2017-02-25	20
2017-02-26	00
2017-02-27	20
2017-02-28	20
2017-03-01	00
2017-03-02	20
2017-03-03	20
2017-03-04	20
2017-03-05	00
2017-03-06	20
2017-03-07	20
2017-03-08	20
2017-03-09	20
2017-03-10	20
2017-03-11	19
2017-03-12	00
2017-03-13	19
2017-03-14	19
2017-03-15	19
2017-03-16	19
2017-03-17	19
2017-03-18	19
2017-03-19	00
2017-03-20	19
2017-03-21	19
2017-03-22	19
2017-03-23	19
2017-03-24	19
2017-03-25	19
2017-03-26	00
2017-03-27	00
2017-03-28	19
2017-03-29	00
2017-03-30	19
2017-03-31	00
2017-04-01	00
2017-04-02	00
2017-04-03	19
2017-04-04	19
2017-04-05	19
2017-04-06	19
2017-04-07	19
2017-04-08	19
2017-04-09	00
2017-04-10	19
2017-04-11	00
2017-04-12	19
2017-04-13	20
2017-04-14	20
2017-04-15	20
2017-04-16	00
2017-04-17	20
2017-04-18	20
2017-04-19	20
2017-04-20	20
2017-04-21	20
2017-04-22	20
2017-04-23	00
2017-04-24	00
2017-04-25	20
2017-04-26	20
2017-04-27	20
2017-04-28	20
2017-04-29	20
2017-04-30	00
2017-05-01	20
2017-05-02	20
2017-05-03	22
2017-05-04	22
2017-05-05	00
06-052017	00
2017-05-07	00
2017-05-08	22
2017-05-09	23
2017-05-10	23
2017-05-11	23
2017-05-12	23
2017-05-13	23
2017-05-14	00
2017-05-15	23
2017-05-16	00
2017-05-17	23
2017-05-18	23
2017-05-19	23
2017-05-20	23
2017-05-21	00
2017-05-22	23
2017-05-23	23
2017-05-24	23
2017-05-25	23
2017-05-26	23
2017-05-27	23
2017-05-28	00
2017-05-29	23
2017-05-30	23
2017-05-31	23
2017-06-01	23
2017-06-02	23
2017-06-03	23
2017-06-04	00
2017-06-05	23
2017-06-06	23
2017-06-07	23
2017-06-08	23
2017-06-09	23
2017-06-10	00
2017-06-11	00
2017-06-12	00
2017-06-13	23
2017-06-14	23
2017-06-15	23
2017-06-16	23
2017-06-17	23
2017-06-18	00
2017-06-19	23
2017-06-20	23
2017-06-21	23
2017-06-22	23
2017-06-23	23
2017-06-24	23
2017-06-25	00
2017-06-26	23
2017-06-27	23
2017-06-28	23
2017-06-29	00
2017-06-30	00
2017-07-01	00
2017-07-02	00
2017-07-03	00
2017-07-04	00
2017-07-05	00
2017-07-06	00
2017-07-07	00
2017-07-08	00
2017-07-09	00
2017-07-10	00
2017-07-11	00
2017-07-12	00
2017-07-13	00
2017-07-14	00
2017-07-15	00
2017-07-16	00
2017-07-17	00
2017-07-18	00
2017-07-19	00
2017-07-20	00
2017-07-21	00
2017-07-22	00
2017-07-23	00
2017-07-24	00
2017-07-25	00
2017-07-26	00
2017-07-27	00
2017-07-28	00
2017-07-29	00
2017-07-30	00
2017-07-31	00
2017-08-01	00
2017-08-02	00
2017-08-03	00
2017-08-04	22
2017-08-05	22
2017-08-06	00
2017-08-07	23
2017-08-08	22
2017-08-09	22
2017-08-10	22
2017-08-11	22
2017-08-12	22
2017-08-13	00
2017-08-14	22
2017-08-15	00
2017-08-16	22
2017-08-17	22
2017-08-18	22
2017-08-19	22
2017-08-20	00
2017-08-21	22
2017-08-22	22
2017-08-23	22
2017-08-24	22
2017-08-25	22
2017-08-26	22
2017-08-27	00
2017-08-28	22
2017-08-29	22
2017-08-30	22
2017-08-31	22
2017-09-01	22
2017-09-02	22
2017-09-03	00
2017-09-04	22
2017-09-05	22
2017-09-06	22
2017-09-07	00
2017-09-08	22
2017-09-09	22
2017-09-10	00
2017-09-11	22
2017-09-12	22
2017-09-13	22
2017-09-14	22
2017-09-15	22
2017-09-16	22
2017-09-17	00
2017-09-18	22
2017-09-19	22
2017-09-20	22
2017-09-21	22
2017-09-22	22
2017-09-23	00
2017-09-24	00
2017-09-25	23
2017-09-26	23
2017-09-27	23
2017-09-28	23
2017-09-29	23
2017-09-30	00
2017-10-01	00
2017-10-02	23
2017-10-03	23
2017-10-04	23
2017-10-05	23
2017-10-06	00
2017-10-07	23
2017-10-08	00
2017-10-09	22
2017-10-10	22
2017-10-11	22
2017-10-12	23
2017-10-13	23
2017-10-14	23
2017-10-15	00
2017-10-16	23
2017-10-17	24
2017-10-18	24
2017-10-19	24
2017-10-20	24
2017-10-21	24
2017-10-22	00
2017-10-23	24
2017-10-24	24
2017-10-25	24
2017-10-26	24
2017-10-27	24
2017-10-28	24
2017-10-29	00
2017-10-30	24
2017-10-31	24
2017-11-01	24
2017-11-02	24
2017-11-03	24
2017-11-04	24
2017-11-05	00
2017-11-06	24
2017-11-07	24
2017-11-08	24
2017-11-09	24
2017-11-10	24
2017-11-11	24
2017-11-12	00
2017-11-13	24
2017-11-14	24
2017-11-15	24
2017-11-16	24
2017-11-17	24
2017-11-18	21
2017-11-19	00
2017-11-20	21
2017-11-21	21
2017-11-22	21
2017-11-23	24
2017-11-24	23
2017-11-25	22
2017-11-26	00
2017-11-27	20
2017-11-28	20
2017-11-29	20
2017-11-30	20
2017-12-01	20
2017-12-02	20
2017-12-03	00
2017-12-04	20
2017-12-05	20
2017-12-06	00
2017-12-07	22
2017-12-08	22
2017-12-09	20
2017-12-10	00
2017-12-11	19
2017-12-12	20
2017-12-13	20
2017-12-14	20
2017-12-15	20
2017-12-16	20
2017-12-17	00
2017-12-18	20
2017-12-19	20
2017-12-20	20
2017-12-21	20
2017-12-22	20
2017-12-23	20
2017-12-24	00
2017-12-25	20
2017-12-26	20
2017-12-27	20
2017-12-28	20
2017-12-29	20
2017-12-30	20
2017-12-31	00
